iter	Passed	Remaining
0	2	200
1	3	184
2	5	183
3	6	164
4	8	160
5	9	154
6	11	150
7	13	150
8	14	146
9	15	143
10	17	142
11	19	140
12	20	136
13	21	132
14	22	129
15	24	126
16	25	123
17	26	121
18	27	118
19	29	116
20	33	124
21	43	154
22	64	214
23	66	209
24	68	204
25	70	201
26	122	330
27	125	321
28	129	316
29	133	311
30	157	349
31	160	340
32	162	328
33	165	321
34	167	311
35	169	301
36	172	292
37	174	284
38	175	275
39	199	299
40	202	291
41	203	281
42	207	274
43	210	267
44	212	259
45	215	252
46	218	245
47	220	238
48	221	231
49	223	223
50	225	216
51	227	209
52	230	204
53	311	265
54	313	256
55	319	251
56	322	243
57	324	235
58	327	227
59	329	219
60	331	212
61	333	204
62	335	196
63	337	189
64	339	182
65	341	175
66	343	169
67	345	162
68	385	173
69	387	166
70	389	159
71	391	152
72	393	145
73	398	139
74	400	133
75	402	127
76	403	120
77	405	114
78	412	109
79	415	103
80	421	98
81	438	96
82	440	90
83	442	84
84	444	78
85	446	72
86	449	67
87	451	61
88	456	56
89	462	51
90	464	45
91	467	40
92	482	36
93	484	30
94	486	25
95	490	20
96	502	15
97	505	10
98	507	5
99	510	0
